"1.0","1.0","宝宝们！！优 惠 介买的只用不到一半，妐&amp;总@呺扌叟：【购优敏】再去买，超级棒！！！排在最上面那个才是喔。c3衣服收到了，还可以，很厚，暖和，布料还可以，包装很好，没有破损的，和图片一模一样，没有认识差别，喜欢这次购物!衣服里面有一层薄薄的绒绒，穿在身上超级舒服好开心，同学看了也说好哈哈哈。很实惠。服好。到货快，五分好评。挺好看的质量还好啦喜欢嘻嘻嘻衣服很好，质量很好，穿起来非常完美!衣服厚度适中，洗过后没掉色没起球，穿上很减龄，喜欢??衣服还不错，算是物有所值，对得起这个价钱，穿上也挺舒服的，摸着面料也还不错.+1210"
"1.0","1.0","㳂【众】号捜◤用心省◥有巻。排名第一那个哦!!卫衣加厚的 颜色也比较显白 棉的 质量相当不错,上身效果特别的好，朋友都说穿的好看，关键面料还很舒服，很柔软，衣服质量和板型都很好，好看 穿着还舒服 棒棒哒 喜欢的不得了,尺码标准，刚刚好这么便宜又好看的卫衣。厚实，很暖和，不得不说真的值了，我一直都很喜欢这种卫衣，这个颜色很正，趁的皮肤更白"
"1.0","1.0","很棒棒哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦哦真的还可以啊姐姐我自己的评论的远离家乡为生活奔波的我，在这个特别的日子里，要感恩生我爱我的家人，感恩无论多么遥远始终挂念着我的朋友。感谢你们让我成为一个内心温暖的人！"
"1.0","1.0","态度很专业热情，有问回复也很快，谢谢掌柜的！ 说宝贝，正是我需要的我问了不少问题会认真回答我，打开后让我惊喜的是。宝贝比我想象中的还要好。终于收到我需要的宝贝了，，收到的时候包装完整。说实在无论是掌柜的态度还是对物品满意的东西很好，价美物廉，谢谢掌柜的！表示由衷的敬意，这样的好掌柜可不多。再， 下次麻烦掌柜给个优惠哦！"
"1.0","1.0","宝贝收到了，东西非常好，价美物廉，谢谢掌柜的!说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，  他都不觉得烦，都会认真回答我，这点我向掌柜表示由哀的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好!不得不得竖起大拇指。  下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠"
"1.0","1.0","非常好，很值28，买的第二件了，上身也不错。以下是模板：掌柜的服务态度真好，发货很快。商品质量也相当不错。太喜欢了，谢谢!好卖家，真有耐心，我终于买到想要的东西了。谢谢卖家。掌柜太善良了，真是干一行懂一行呀。在掌柜的指导下我都快变内行人士了!卖家服务真周到。以后带同事一起来。宝贝质量不错，很喜欢了。谢谢掌柜。货到了，比图片上看到的好多了3Q!"
"1.0","1.0","很好，懒得写懒得拍照， 哦咦啊议 哦咦啊议 哦咦啊议 啊咦哦 哦咦啊议 哦咦啊议 哦咦啊议 啊咦哦 哦咦啊议 哦咦啊议 哦咦啊议 啊咦哦 世界像一个 动物乐园 那么那么大 超级乐园 你会大开眼界 这里什么都有 哦咦啊议 哦咦啊议 哦咦啊议 啊咦哦"
"1.0","1.0","质量非常好,与卖家描述的完全一致, 真的很喜欢,完全超出期望值,发货速 度非常快,包装非常仔细、严实,物流公司服务态度很好,运送速度很快,很满意的一次购物质量很好, 希望更多的朋友信赖. 店主态度特好, 我会再次光顾的好卖家 赞，发货迅速，态度很好，很满意！很好很好！网上购物这么激烈，没想到店家的服务这么好，商品质量好而价低廉， 很热情的卖家，下次还来希望下次还有机会合作祝你生意兴隆质量非常好，出乎我的意料包装非常仔细。下次有机会再找你，店家人蛮好的，东东很不错,淘到心意的宝贝是一件让人很开心的事，"
"1.0","1.0","很可爱领口有点大要在绳子上打个结 终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦！"
"1.0","1.0","首先非常惊喜，物流超级快！收到后立马打开看，做工很精致！完全对得起这个价，至于会不会起球，对不起球不抱希望，毕竟价格在那里，喜欢完全可以买！好了，说完了，剩下的都是凑数字了，，，今天本大仙给了你好评就证明我认可了这个宝贝，如果不满意的话，本大仙会天雷招呼你们O(&cap;_&cap;)O哈哈~，你们也不会看到这个好评模板。"
"1.0","1.0","性价比高，所谓的快时尚吧！一次性用品。 质量还是非常不错的，卖家的服务态度也很不错热情回复消息也很快。其次我听别人说现在淘宝买完东西之后好评达到多少个字会怎样怎样来着具体的我也忘了先写这么多吧！现在写的这些评价能有多少个文字了也没法数清楚啊。就这样吧。感觉像写作文一样哈哈哈这真的是结束了。好浪费时间啊哈哈哈。后续有什么问题再来追评哟"
"1.0","1.0","亲们！！半-价买滴哟！公 总~号搜：【良心卖家】领卷再去买，太好了！！！！排在最上面的那个才是哦！！合身质量棒，物流快，样式还可以，大小也合适。衣服很好看呀，料子很舒服，摸起来还挺不错，不知道会不会起球球，手感不错这个季节穿刚刚好，就是码数买大了一码，前几天单穿可以，现在就冷了要套外套了，颜色很好和想象的一样，物流很快。穿可这么久也没有起球，值得购买。还挺厚的，卫衣不错，厚度也适合南方现在的天气，"
"1.0","1.0","东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好很东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好东西很好好东西很好东西很好东西很好东西很好"
"1.0","1.0","宝贝收到了，炒鸡炒鸡喜欢，物超所值，这么便宜版型和质量都很好啊，值得购买，很好看，已经在店里买过很多次东西了，从来不失望超级有范儿，质量超级好，发货速度也超级快，客服小姐姐推荐的码数大小合适，很专业哦，也很耐心，不耐其烦的回复我的问题，下次再来哦    ."
"1.0","1.0","童鞋们！！半.价买滴哟！公 总~号搜：【红塔塔】再去买，太好了！！！！排在最上面的那个才是哦！！衣服好诶，颜色不错。十分好看，就是有点薄，颜色也很不错，下次再来。棉的，我穿刚好合适，很厚实，希望不要起球～，着合身，也舒服。没有起毛，很满意啊。"
"1.0","1.0","薇，ィ訁公～总号嗖：在，用心省，领劵下单的，太便宜咯～ 可以去看一噢~~再去买超级棒，少女心爆棚，而且绒绒挺舒服的，也很厚，现在的天气穿着刚刚好，而且不臃肿，看着很可爱呢，比我想象好多了，面料手感很好，容易搭配上衣和裤子，价钱还实惠，尺码合身，和图片没有差别，很不错啊，有弹性线头也没有，布料摸着很舒服特别温和，值得购买哦11.22"
"1.0","1.0","物美价廉！是一个好评模板，不要看了下面都是废话。因为本仙女很懒不想每个宝贝都写好评所以才模仿网友的好评模板，但是这个宝贝不管是质量还是款式都是本仙女喜欢的如果不喜欢本仙女收到会很生气然后这个模板就会变成各种喋喋不体的吐槽，自然不会撒下这个好评给各位淘友一个参考。本宝贝还是极好的，来自一位懒省事的只爱购物不爱写评论只想换积分的仙女"
"1.0","1.0","收到宝贝了，东西真的还可以，算是物美价廉！谢谢掌柜的！说实在，这是我淘宝购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦！质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物"
